299.67 4
300.216875 -52
300.76375 -92
301.310625 44
301.8575 136
302.404375 -120
302.95125 -76
303.498125 52
304.045 -124
304.591875 44
305.13875 172
305.685625 -56
306.2325 80
306.779375 8
307.32625 52
307.873125 -12
308.42 8
308.966875 -108
309.51375 -32
310.060625 -24
310.6075 -8
311.154375 76
311.70125 32
312.248125 176
312.795 -32
313.341875 -128
313.88875 164
314.435625 224
314.9825 108
315.529375 -4
316.07625 -100
316.623125 -128
317.17 176
317.716875 216
318.26375 36
318.810625 -52
319.3575 -188
319.904375 -112
320.45125 -4
320.998125 4
321.545 152
322.091875 72
322.63875 72
323.185625 120
323.7325 20
324.279375 12
324.82625 12
325.373125 -52
325.92 -40
326.466875 -84
327.01375 -196
327.560625 108
328.1075 52
328.654375 144
329.20125 -68
329.748125 -12
330.295 -88
330.841875 -76
331.38875 -40
331.935625 -176
332.4825 -64
333.029375 336
333.57625 -56
334.123125 20
334.67 132
335.216875 -40
335.76375 184
336.310625 64
336.8575 -4
337.404375 56
337.95125 -88
338.498125 236
339.045 112
339.591875 -100
340.13875 180
340.685625 184
341.2325 272
341.779375 -104
342.32625 -48
342.873125 200
343.42 -180
343.966875 4
344.51375 64
345.060625 -56
345.6075 264
346.154375 36
346.70125 56
347.248125 -8
347.795 76
348.341875 -36
348.88875 -80
349.435625 116
349.9825 -32
350.529375 76
351.07625 -44
351.623125 -28
352.17 12
352.716875 -60
353.26375 -104
353.810625 28
354.3575 -140
354.904375 140
355.45125 64
355.998125 128
356.545 -164
357.091875 -48
357.63875 -80
358.185625 -116
358.7325 -28
359.279375 -156
359.82625 80
360.373125 4
360.92 -116
361.466875 -140
362.01375 -56
362.560625 -68
363.1075 180
363.654375 48
364.20125 -80
364.748125 -84
365.295 4
365.841875 28
366.38875 -68
366.935625 -20
367.4825 56
368.029375 44
368.57625 -32
369.123125 -228
369.67 -68
370.216875 -116
370.76375 32
371.310625 4
371.8575 84
372.404375 -92
372.95125 180
373.498125 -24
374.045 -108
374.591875 84
375.13875 -164
375.685625 124
376.2325 -40
376.779375 0
377.32625 -260
377.873125 52
378.42 -100
378.966875 84
379.51375 -180
380.060625 -56
380.6075 -172
381.154375 88
381.70125 112
382.248125 -124
382.795 16
383.341875 104
383.88875 -4
384.435625 260
384.9825 140
385.529375 104
386.07625 16
386.623125 224
387.17 -136
387.716875 56
388.26375 4
388.810625 -300
389.3575 4
389.904375 92
390.45125 -4
390.998125 92
391.545 80
392.091875 152
392.63875 32
393.185625 160
393.7325 188
394.279375 152
394.82625 60
395.373125 -20
395.92 144
396.466875 -40
397.01375 16
397.560625 -128
398.1075 -16
398.654375 112
399.20125 -20
399.748125 136
